Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms)
00:00:00.000-02:00,00:15:00.000-02:00,,,1.452797436289082,,,,,,,,,,,,,4,,,,404844
00:15:00.000-02:00,00:30:00.000-02:00,,,1.452797436289082,,,,,,,,,,,,,1,,,,900000
00:30:00.000-02:00,00:45:00.000-02:00,,,1.452797436289082,,,,,,,,,,,,,,,,,900000
00:45:00.000-02:00,01:00:00.000-02:00,,,2.306239924760347,,,,,,,,,,,,,,,,,900000
01:00:00.000-02:00,01:15:00.000-02:00,,,4.493867374422857,,,,,,,,,,,,,2,,,,900000
01:15:00.000-02:00,01:30:00.000-02:00,,,5.041538518365884,,,,,,,,,,,,,19,,,,805846
01:30:00.000-02:00,01:45:00.000-02:00,,,12.565984709658691,,,,,,,,,,,,,61,,,,841019
01:45:00.000-02:00,02:00:00.000-02:00,,,21.499943805078864,,,,,,,,,,,,,,,,,900000
02:00:00.000-02:00,02:15:00.000-02:00,,,34.08992393666333,,,,,,,,,,,,,,,,,900000
02:15:00.000-02:00,02:30:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
02:30:00.000-02:00,02:45:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
02:45:00.000-02:00,03:00:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
03:00:00.000-02:00,03:15:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
03:15:00.000-02:00,03:30:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
03:30:00.000-02:00,03:45:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
03:45:00.000-02:00,04:00:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
04:00:00.000-02:00,04:15:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
04:15:00.000-02:00,04:30:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
04:30:00.000-02:00,04:45:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
04:45:00.000-02:00,05:00:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
05:00:00.000-02:00,05:15:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
05:15:00.000-02:00,05:30:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
05:30:00.000-02:00,05:45:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
05:45:00.000-02:00,06:00:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
06:00:00.000-02:00,06:15:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
06:15:00.000-02:00,06:30:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
06:30:00.000-02:00,06:45:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
06:45:00.000-02:00,07:00:00.000-02:00,,,1.779284648692103,,,,,,,,,,,,,,,,,900000
07:00:00.000-02:00,07:15:00.000-02:00,,,36.90429248929178,,,,,,,,,,,,,,,,,900000
07:15:00.000-02:00,07:30:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
07:30:00.000-02:00,07:45:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
07:45:00.000-02:00,08:00:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
08:00:00.000-02:00,08:15:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
08:15:00.000-02:00,08:30:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
08:30:00.000-02:00,08:45:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
08:45:00.000-02:00,09:00:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
09:00:00.000-02:00,09:15:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
09:15:00.000-02:00,09:30:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
09:30:00.000-02:00,09:45:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
09:45:00.000-02:00,10:00:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
10:00:00.000-02:00,10:15:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
10:15:00.000-02:00,10:30:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
10:30:00.000-02:00,10:45:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
10:45:00.000-02:00,11:00:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
11:00:00.000-02:00,11:15:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
11:15:00.000-02:00,11:30:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
11:30:00.000-02:00,11:45:00.000-02:00,,,0.2727747413608589,,,,,,,,,,,,,,,,,900000
11:45:00.000-02:00,12:00:00.000-02:00,,,3.7489963100164063,,,,,,,,,,,,,14,,,,900000
12:00:00.000-02:00,12:15:00.000-02:00,,,6.724058468042097,,,,,,,,,,,,,3,,,,900000
12:15:00.000-02:00,12:30:00.000-02:00,,,6.6297522119754175,,,,,,,,,,,,,5,,,,900000
12:30:00.000-02:00,12:45:00.000-02:00,,,13.953299622999289,,,,,,,,,,,,,,,,,900000
12:45:00.000-02:00,13:00:00.000-02:00,,,1.7366940125547587,,,,,,,,,,,,,,,,,900000
13:00:00.000-02:00,13:15:00.000-02:00,,,1.7366940125547587,,,,,,,,,,,,,,,,,900000
13:15:00.000-02:00,13:30:00.000-02:00,,,2.226666468223709,,,,,,,,,,,,,,,,,900000
13:30:00.000-02:00,13:45:00.000-02:00,,,13.647599529837743,,,,,,,,,,,,,3,,,,900000
13:45:00.000-02:00,14:00:00.000-02:00,,,3.2451236424234406,,,,,,,,,,,,,,,,,900000
14:00:00.000-02:00,14:15:00.000-02:00,,,6.565289639807438,,,,,,,,,,,,,,,,,900000
14:15:00.000-02:00,14:30:00.000-02:00,,,2.094336238382989,,,,,,,,,,,,,,,,,900000
14:30:00.000-02:00,14:45:00.000-02:00,,,2.094336238382989,,,,,,,,,,,,,,,,,900000
14:45:00.000-02:00,15:00:00.000-02:00,,,4.9732187037652675,,,,,,,,,,,,,,,,,900000
