Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Patinete (ms),Duração de Outra (ms)
2015-02-02,,,6038.486455054519,,,,,,,,,,0.7731483486905888,1.0307763814926147,0.55901700258255,8307,,,,738201,76139150,1938171,,,
2015-02-03,,,4105.894212074781,,,,,,,,,,1.0862632240560375,1.25,0.5,6023,,,,,80320867,3460259,,,
2015-02-04,,,4247.575958291502,,,,,,,,,,0.8907728199995747,5.25,0.5,7495,,,,,79299625,1554378,,,
2015-02-05,,,3782.2744063057826,,,,,,,,,,1.625,2.0,1.25,271,,,,,82679435,29751,,,
2015-02-06,,,880.4466710017776,,,,,,,,,,,,,684,,,,,83669767,76570,,,
2015-02-07,,,5341.941656267037,,,,,,,,,,,,,2148,,,,,82353055,948988,,,
2015-02-08,,,451.1735596412019,,,,,,,,,,,,,649,,,,,85122512,150554,,,
2015-02-09,,,3085.1574259507083,,,,,,,,,,1.033075694654912,1.25,1.0,5973,,,,,83157234,3138604,,,
2015-02-10,,,5002.690318608242,,,,,,,,,,1.7628841742464398,4.697073459625244,0.55901700258255,2406,,,,,82898707,1088599,,,
2015-02-11,,,4512.0879164911275,,,,,,,,,,1.5684038315966415,2.5495097637176514,0.5,3821,,,,,82846722,1787892,,,
2015-02-12,,,4954.378984821025,,,,,,,,,,1.0194659726823967,1.5,0.7071067690849304,5803,,,,,81039727,2979195,,,
2015-02-13,,,3909.5496676164994,,,,,,,,,,0.9493749430609368,3.75,0.5,596,,,,,80626412,146072,,,
2015-02-14,,,518.8591474048392,,,,,,,,,,,,,589,,,,,83257196,138350,,,
2015-02-15,,,17901.9679617472,,,,,,,,,,1.1260481289963973,15.25,0.5,3761,,,,,77875187,1967817,,,
2015-02-16,,,4817.345899919859,,,,,,,,,,1.337613207223217,1.346291184425354,1.25,8607,,,,,78891286,5245281,,,
2015-02-17,,,6807.600704240942,,,,,,,,,,0.779508501291275,1.0,0.55901700258255,1248,,,,,83343685,,,,
2015-02-18,,,3237.268677976241,,,,,,,,,,0.7476160374476961,2.0,0.5,4495,,,,,81319883,478317,,,
2015-02-19,,,298.5174528980602,,,,,,,,,,,,,241,,,,,85476151,,,,
2015-02-20,,,3904.641254633776,,,,,,,,,,3.5,3.5,3.5,1674,,,,,79054258,46616,,,
2015-02-21,,,9478.190356497636,,,,,,,,,,4.197425688787869,13.086252212524414,0.9013878107070923,6803,,,,,77261572,2992347,,,
2015-02-22,,,,,,,,,,,,,,,,4295,,,,,73760968,1190912,,,
2015-02-23,,,,,,,,,,,,,,,,3369,,,,,83182734,1753461,,,
2015-02-24,,,2306.98222483081,,,,,,,,,,6.0,6.0,6.0,3683,,,,,83246415,1997979,,,
2015-02-25,,,22189.84574459087,,,,,,,,,,1.1677808678422343,4.031128883361816,0.5,21046,,,,,65954309,5373479,,,
2015-02-26,,,1746.7056603868944,,,,,,,,,,,,,218,,,,,82453607,,,,
2015-02-27,,,2242.338850226323,,,,,,,,,,1.0,1.0,1.0,346,,,,,84700853,,,,
2015-02-28,,,14037.829293591712,,,,,,,,,,1.9228801625569438,10.60660171508789,0.5,3226,,,,,76976835,629668,,,
2015-03-01,,,14316.640910613069,,,,,,,,,,1.1282086146951131,9.5,0.5,1693,,,,,80817972,301190,,,
2015-03-02,,,8513.905868693926,,,,,,,,,,2.880060324106509,3.8078866004943848,1.5,5503,,,,,81428223,2490653,123720,,
2015-03-03,,,416.4907220450308,,,,,,,,,,,,,742,,,,,86045858,97478,,,
2015-03-04,,,,,,,,,,,,,1.07726308271508,1.6770509481430054,0.5,1953,,,,,82269162,896280,,,
2015-03-05,,,,,,,,,,,,,1.7074472250335153,2.75,0.75,2627,,,,,77616851,1258476,,,
2015-03-06,,,,,,,,,,,,,1.5,2.0,1.0,1067,,,,,74263654,489131,,,
2015-03-07,,,,,,,,,,,,,0.9721626121707377,1.5,0.7071067690849304,7251,,,,,66282558,3786785,102899,,
2015-03-08,,,,,,,,,,,,,,,,3633,,,,,74633330,1503223,,,
2015-03-09,,,,,,,,,,,,,5.319061225306889,13.009612083435059,1.0,5289,,,,,80871173,2819811,,,
2015-03-10,,,,,,,,,,,,,2.681551032195638,6.964194297790527,0.5,6968,,,,,79379401,3773861,,,
2015-03-11,,,398.0,,,,,,,,,,0.8811778853527626,2.8284270763397217,0.5,4607,,,,,81792996,2192965,,,
2015-03-12,,,248.0,,,,,,,,,,0.7532618996128652,4.75,0.5,8147,,,,,75323210,2981999,127457,,
2015-03-13,,,,,,,,,,,,,0.5,0.5,0.5,271,,,,,86400000,,,,
2015-03-14,,,463.0,,,,,,,,,,0.8114117516065484,1.1180340051651,0.5,6349,,,,,80479283,3673607,,,
2015-03-15,,,3157.0,,,,,,,,,,4.487313392641468,27.073972702026367,0.7071067690849304,13523,,,,,56344235,7070615,,,
2015-03-16,,,3055.0,,,,,,,,,,1.566642580430449,6.75,0.75,10616,,,,,77880567,5515951,,,
2015-03-17,,,1043.0,,,,,,,,,,1.1863524709275002,1.75,1.1180340051651,4816,,,,,81254809,2672848,,,
2015-03-18,,,4317.0,,,,,,,,,,2.487766591812627,9.5,0.75,17214,,,,,66566884,10846893,,,
2015-03-19,,,2063.0,,,,,,,,,,1.041851481231636,1.5811388492584229,0.5,8126,,,,,77865741,4587139,106534,,
2015-03-20,,,3377.0,,,,,,,,,,1.7130665324223915,10.049875259399414,0.7071067690849304,13193,,,,,64609487,7774883,,,
2015-03-21,,,154.0,,,,,,,,,,0.6203466046700811,9.5,0.5,3095,,,,,78372501,1154804,,,
2015-03-22,,,121.0,,,,,,,,,,1.8457540571689606,3.132491111755371,0.55901700258255,2223,,,,,84984228,999006,,,
2015-03-23,,,3710.0,,,,,,,,,,1.3866272186464197,2.25,0.75,11239,,,,,77525037,6282260,,,
2015-03-24,,,1884.0,,,,,,,,,,2.1270123004786274,13.5,0.7071067690849304,8704,,,,,74215363,5214426,,,
