Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms),Duração de Caminhada (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.179687670536975,0.0,,,,,,,,,,,,,0,,,,900000,
00:15:00.000-03:00,00:30:00.000-03:00,,15.179687520642135,0.0,,,,,,,,,,,,,0,,,,780000,
00:30:00.000-03:00,00:45:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.179686546325684,0.0,,,,,,,,,,,,,,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.1796875,0.0,,,,,,,,,,,,,,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.179688334465027,0.0,,,,,,,,,,,,,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.179688334465027,0.0,,,,,,,,,,,,,,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.179688334465027,0.0,,,,,,,,,,,,,,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.179687604612234,0.0,,,,,,,,,,,,,,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.179687422149035,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.179687422149035,0.0,,,,,,,,,,,,,,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,15.179687648624569,0.0,,,,,,,,,,,,,,,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,15.17968784679066,0.0,,,,,,,,,,,,,,,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,15.17968784679066,0.0,,,,,,,,,,,,,,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,6.071875138716264,0.0,,,,,,,,,,,,,,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,,0.0,,,,,,,,,,,,,,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,,0.0,,,,,,,,,,,,,,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,,0.0,,,,,,,,,,,,,,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,,0.0,,,,,,,,,,,,,,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,8.420620793438664,0.0,,,,,,,,,,,,,,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,15.179687674995574,0.0,,,,,,,,,,,,,0,,,,60000,
07:00:00.000-03:00,07:15:00.000-03:00,,15.17968729873037,0.0,,,,,,,,,,,,,0,,,,900000,
07:15:00.000-03:00,07:30:00.000-03:00,,15.17968729873037,0.0,,,,,,,,,,,,,,,,,900000,
07:30:00.000-03:00,07:45:00.000-03:00,,15.17968729873037,0.0,,,,,,,,,,,,,,,,,900000,
07:45:00.000-03:00,08:00:00.000-03:00,,15.17968729873037,0.0,,,,,,,,,,,,,,,,,900000,
08:00:00.000-03:00,08:15:00.000-03:00,4,23.2253649866305,179.3678207397461,3.0,3,,,,,,,,1.5261456622649099,2.0799999237060547,0.4484173655509949,308,,,,353562,171589
08:15:00.000-03:00,08:30:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,64,,,,900000,
08:30:00.000-03:00,08:45:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,42,,,,900000,
08:45:00.000-03:00,09:00:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,51,,,,900000,
09:00:00.000-03:00,09:15:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,19,,,,900000,
09:15:00.000-03:00,09:30:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,3,,,,900000,
09:30:00.000-03:00,09:45:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,9,,,,900000,
09:45:00.000-03:00,10:00:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,900000,
10:00:00.000-03:00,10:15:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,25,,,,900000,
10:15:00.000-03:00,10:30:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,16,,,,900000,
10:30:00.000-03:00,10:45:00.000-03:00,,15.179687348484181,0.0,,,,,,,,,,,,,21,,,,900000,
