Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms)
12:45:00.000-03:00,13:00:00.000-03:00,,14.82552059795208,,,,,,,,,,,,,,18,,,,,900000,
13:00:00.000-03:00,13:15:00.000-03:00,,14.82552053097935,,,,,,,,,,,,,,12,,,,,615284,
13:15:00.000-03:00,13:30:00.000-03:00,,14.825519723193642,,,,,,,,,,,,,,1,,,,,900000,
13:30:00.000-03:00,13:45:00.000-03:00,,14.825519723193642,,,,,,,,,,,,,,,,,,,900000,
13:45:00.000-03:00,14:00:00.000-03:00,,14.825519723193642,,,,,,,,,,,,,,,,,,,900000,
14:00:00.000-03:00,14:15:00.000-03:00,,14.825519723193642,,,,,,,,,,,,,,,,,,,900000,
14:15:00.000-03:00,14:30:00.000-03:00,,14.825519723193642,,,,,,,,,,,,,,,,,,,900000,
14:30:00.000-03:00,14:45:00.000-03:00,,14.825519723193642,,,,,,,,,,,,,,33,,,,,900000,
14:45:00.000-03:00,15:00:00.000-03:00,,26.915657279980078,306.76688513166687,,,,,,,,,,,,,542,,,,,623299,276701
15:00:00.000-03:00,15:15:00.000-03:00,,30.957427925791634,447.78515878312805,,,,,,,,,,,,,689,,,,,530797,369203
15:15:00.000-03:00,15:30:00.000-03:00,,33.49984261468217,517.7804934161513,,,,,,,,,,,,,809,,,,,472610,427390
15:30:00.000-03:00,15:45:00.000-03:00,,25.3842313037798,234.9856828076036,,,,,,,,,,,,,866,,,,,658348,241652
15:45:00.000-03:00,16:00:00.000-03:00,,43.64353937003443,,,,,,,,,,,,,,201,,,,382402,517598,
16:00:00.000-03:00,16:15:00.000-03:00,,39.87837631649578,,,,,,,,,,,,,,60,,,,332440,567560,
16:15:00.000-03:00,16:30:00.000-03:00,,14.825520613360272,,,,,,,,,,,,,,2,,,,,900000,
16:30:00.000-03:00,16:45:00.000-03:00,,14.825520613360272,,,,,,,,,,,,,,,,,,,900000,
16:45:00.000-03:00,17:00:00.000-03:00,,14.825520613360272,,,,,,,,,,,,,,,,,,,900000,
17:00:00.000-03:00,17:15:00.000-03:00,,14.825521004485633,,,,,,,,,,,,,,,,,,,335805,
17:15:00.000-03:00,17:30:00.000-03:00,,28.79829453258155,321.776882285555,,,,,,,,,,,,,464,,,,,,319788
17:30:00.000-03:00,17:45:00.000-03:00,,54.14999859656474,1150.3465675500513,,,,,,,,,,,,,1593,,,,,,900000
17:45:00.000-03:00,18:00:00.000-03:00,,42.519478176976136,607.4781289960663,,,,,,,,,,,,,863,,,,,266182,633818
18:00:00.000-03:00,18:15:00.000-03:00,,14.825519940495793,,,,,,,,,,,,,,15,,,,,900000,
18:15:00.000-03:00,18:30:00.000-03:00,,14.825519940495793,,,,,,,,,,,,,,,,,,,900000,
