Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Corrida (ms)
09:00:00.000-03:00,09:15:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
09:45:00.000-03:00,10:00:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
10:00:00.000-03:00,10:15:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
10:15:00.000-03:00,10:30:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
10:30:00.000-03:00,10:45:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
10:45:00.000-03:00,11:00:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
11:00:00.000-03:00,11:15:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
11:15:00.000-03:00,11:30:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
11:30:00.000-03:00,11:45:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
11:45:00.000-03:00,12:00:00.000-03:00,,15.742187880545117,0.3442280945757997,,,,,,,,,,,,,1,,,,,
