Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg)
14:00:00.000-03:00,14:15:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
15:00:00.000-03:00,15:15:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
15:30:00.000-03:00,15:45:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
17:00:00.000-03:00,17:15:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
17:30:00.000-03:00,17:45:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
18:15:00.000-03:00,18:30:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
18:30:00.000-03:00,18:45:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
18:45:00.000-03:00,19:00:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
19:00:00.000-03:00,19:15:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
19:15:00.000-03:00,19:30:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
19:30:00.000-03:00,19:45:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
19:45:00.000-03:00,20:00:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
20:00:00.000-03:00,20:15:00.000-03:00,,15.138020833333332,0.0,,,,,,,,,,,,,,,,
