Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg)
00:00:00.000-03:00,00:15:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,1,15.742187475113294,25.701496124267578,,,,,,,,,,0.35857701301574707,0.4494301378726959,0.2677238881587982,52,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.742187475113294,,,,,,,,,,,3.0790525674819946,4.648105144500732,1.5099999904632568,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.742187475113294,,,,,,,,,,,4.598055686098488,13.1506986618042,4.543180465698242,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.742187475113294,,,,65.0,65.0,65.0,,,,,,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.742187475113294,,,,65.0,65.0,65.0,,,,,,,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.742187475113294,,,,,,,,,,,,,,,,,
