Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms),Duração de Corrida (ms)
11:45:00.000-03:00,12:00:00.000-03:00,3,25.511032684020996,113.60393333435059,,,,,,,,,,0.6318329792952976,0.8785888955459531,0.31382299785163836,181,,,,,181644,
12:00:00.000-03:00,12:15:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,,,,,,,
12:15:00.000-03:00,12:30:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,,,,,,,
12:30:00.000-03:00,12:45:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,30,,,,,,
12:45:00.000-03:00,13:00:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,,,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,,,,,,,
13:15:00.000-03:00,13:30:00.000-03:00,1,27.421602987763237,61.50931167602539,,,,,,,,,,0.4250322145849044,0.6203091443401444,0.2719799359639486,112,,,,,217631,
13:30:00.000-03:00,13:45:00.000-03:00,,15.8671875,,,,,,,,,,,,,,,,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,15.8671875,,,,,,,,,,,,,,,,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,15.8671875,,,,,,,,,,,,,,,,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,3,35.72896143473307,121.13568496704102,,,,,,,,,,0.4194878267555582,0.6451136477441245,0.31382299655426243,193,,,,,374101,
14:30:00.000-03:00,14:45:00.000-03:00,,15.8671875,,,,,,,,,,,,,,,,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,3,32.12703778625488,122.39097690582275,,,,,,,,,,0.38203550200989533,0.5732632734029381,0.2899144583865805,207,,,,,306258,
15:00:00.000-03:00,15:15:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
15:30:00.000-03:00,15:45:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,,,,,,,
17:00:00.000-03:00,17:15:00.000-03:00,,15.867187500000002,,,,,,,,,,,,,,11,,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,21.136410318857827,20.084672927856445,,,,,,,,,,0.3138229944130853,0.3138229944130853,0.3138229944130853,52,,,,,99247,
17:30:00.000-03:00,17:45:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,,,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,,,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,15.867187499999998,,,,,,,,,,,,,,,,,,,,
