Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Outra (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.742187330607807,2.747474747474748,,,75.1923076923077,80.0,73.0,,,,,,,,4,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.742187330607807,2.9437229437229435,,,88.71428571428571,95.0,80.0,,,,,,,,5,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.742187330607807,2.9437229437229435,,,72.46428571428571,86.0,66.0,,,,,,,,5,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.742187330607807,2.9437229437229435,,,71.57142857142857,75.0,69.0,,,,,,,,5,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.742187330607807,2.9437229437229435,,,72.07142857142857,80.0,70.0,,,,,,,,5,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.742187330607807,2.9437229437229435,,,74.17857142857143,77.0,71.0,,,,,,,,5,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.742187330607807,2.9437229437229435,,,75.39285714285714,78.0,73.0,,,,,,,,5,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.742187330607807,2.9437229437229435,,,76.46428571428571,91.0,71.0,,,,,,,,5,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.742187330607807,2.9437229437229435,,,69.75,72.0,68.0,,,,,,,,5,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.742187330607807,2.9437229437229435,,,69.85714285714286,73.0,68.0,,,,,,,,5,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.742187330607807,2.9437229437229435,,,68.0,83.0,64.0,,,,,,,,5,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.742187330607807,2.9437229437229435,,,78.42857142857143,83.0,75.0,,,,,,,,5,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.742187330607807,2.9437229437229435,,,77.35714285714286,87.0,74.0,,,,,,,,5,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.742187330607807,2.9437229437229435,,,73.39285714285714,76.0,72.0,,,,,,,,5,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.742187330607807,2.9437229437229435,,,72.60714285714286,74.0,71.0,,,,,,,,5,,,,
