Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms),Duração de Corrida (ms)
12:45:00.000-03:00,13:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,212,,,,900000,
13:00:00.000-03:00,13:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,502,,,,900000,
13:15:00.000-03:00,13:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,3,,,,900000,
13:30:00.000-03:00,13:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,3,,,,900000,
13:45:00.000-03:00,14:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,1,,,,900000,
14:00:00.000-03:00,14:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
14:15:00.000-03:00,14:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,8,,,,900000,
14:30:00.000-03:00,14:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
14:45:00.000-03:00,15:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
15:00:00.000-03:00,15:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,10,,,,900000,
15:15:00.000-03:00,15:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,308,,,,900000,
15:30:00.000-03:00,15:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,714,,,,900000,
15:45:00.000-03:00,16:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
16:00:00.000-03:00,16:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,0.8748922413793103,1.5,0.5,,,,,900000,
16:15:00.000-03:00,16:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,0.7291666666666666,1.0,0.5,2,,,,900000,
16:30:00.000-03:00,16:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,0.7029590735933655,1.0,0.5,936,,,,900000,
16:45:00.000-03:00,17:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,288,,,,900000,
17:00:00.000-03:00,17:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,100,,,,900000,
17:15:00.000-03:00,17:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,481,,,,900000,
17:30:00.000-03:00,17:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,0,,,,900000,
17:45:00.000-03:00,18:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
18:00:00.000-03:00,18:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,2,,,,900000,
18:15:00.000-03:00,18:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,,,,,900000,
18:30:00.000-03:00,18:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,360,,,,900000,
18:45:00.000-03:00,19:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,4,,,,900000,
19:00:00.000-03:00,19:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,377,,,,900000,
19:15:00.000-03:00,19:30:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,338,,,,900000,
19:30:00.000-03:00,19:45:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,235,,,,900000,
19:45:00.000-03:00,20:00:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,291,,,,900000,
20:00:00.000-03:00,20:15:00.000-03:00,,15.138020217024701,,,,,,,,,,,,,,595,,,,900000,
