Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms)
12:15:00.000-03:00,12:30:00.000-03:00,,15.929687465230623,4.690158175397033,,,,,,,,,,,,,7,,,,,
12:30:00.000-03:00,12:45:00.000-03:00,1,15.929687465230625,30.496829130030893,,,,,,,,,,0.2615191661597292,0.2615191661597292,0.2615191661597292,49,,,,,
12:45:00.000-03:00,13:00:00.000-03:00,10,33.30577547940771,411.6581888703752,3.0,3,,,,,,,,1.0081943834336735,1.4596875857616625,0.3138229820415368,621,,,,,323843
13:00:00.000-03:00,13:15:00.000-03:00,1,17.476748064696316,29.49230016363285,,,,,,,,,,0.43992264150171867,0.43992264150171867,0.43992264150171867,47,,,,,28833
13:15:00.000-03:00,13:30:00.000-03:00,9,49.62393285783338,453.3999654306793,,,,,,,,,,0.8083901376287239,1.0301974700645489,0.29290146609889667,717,,,,,627970
13:30:00.000-03:00,13:45:00.000-03:00,,19.475913287721745,,,,,,,,,,,,,,21,,,,,66092
13:45:00.000-03:00,14:00:00.000-03:00,,15.929687465230625,,,,,,,,,,,,,,,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,15.929687465230623,,,,,,,,,,,,,,12,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,15.929687465230625,,,,,,,,,,,,,,,,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,15.929687465230625,,,,,,,,,,,,,,,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,2,19.149470784785898,70.84011918096152,,,,,,,,,,0.8142647432634671,1.310908945944084,0.25105839951334,109,,,,,60008
15:00:00.000-03:00,15:15:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
15:30:00.000-03:00,15:45:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,15.929687465230622,,,,,,,,,,,,,,,,,,,
