Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Outra (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.74218759885112,1.182341650671785,,,76.3076923076923,82.0,69.0,,,,,,,,2,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,70.53571428571429,74.0,68.0,,,,,,,,2,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,70.89285714285714,72.0,70.0,,,,,,,,2,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,70.53571428571429,72.0,70.0,,,,,0.9543492197990417,0.9543492197990417,0.9543492197990417,2,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,69.25,70.0,69.0,,,,,0.9543492197990417,0.9543492197990417,0.9543492197990417,2,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,69.10714285714286,81.0,65.0,,,,,0.9543492197990417,0.9543492197990417,0.9543492197990417,2,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,69.64285714285714,77.0,63.0,,,,,0.9543492197990417,0.9543492197990417,0.9543492197990417,2,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,71.42857142857143,81.0,66.0,,,,,,,,2,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,61.75,65.0,59.0,,,,,,,,2,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,63.214285714285715,65.0,62.0,,,,,,,,2,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,64.10714285714286,66.0,62.0,,,,,,,,2,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,64.78571428571429,66.0,64.0,,,,,,,,2,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,65.42857142857143,69.0,60.0,,,,,,,,2,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,66.53571428571429,72.0,59.0,,,,,,,,2,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,72.85714285714286,79.0,67.0,,,,,,,,2,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,64.21428571428571,69.0,62.0,,,,,,,,2,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,63.857142857142854,71.0,62.0,,,,,,,,2,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,62.67857142857143,64.0,61.0,,,,,,,,2,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,62.285714285714285,70.0,60.0,,,,,,,,2,,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,62.464285714285715,65.0,61.0,,,,,,,,2,,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,66.03571428571429,76.0,59.0,,,,,,,,2,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,68.78571428571429,76.0,63.0,,,,,,,,2,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,72.25,84.0,65.0,,,,,,,,2,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,69.10714285714286,88.0,64.0,,,,,,,,2,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,66.67857142857143,71.0,64.0,,,,,,,,2,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,71.03571428571429,75.0,67.0,,,,,,,,2,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,70.5,77.0,66.0,,,,,,,,2,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,70.5,74.0,67.0,,,,,,,,2,,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,68.14285714285714,76.0,64.0,,,,,0.5830296277999878,0.5830296277999878,0.5830296277999878,2,,,,,
07:15:00.000-03:00,07:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,65.14285714285714,73.0,62.0,,,,,0.5830296277999879,0.5830296277999878,0.5830296277999878,2,,,,,
07:30:00.000-03:00,07:45:00.000-03:00,,15.74218759885112,1.2667946257197698,,,76.32142857142857,80.0,69.0,,,,,,,,2,,,,,
07:45:00.000-03:00,08:00:00.000-03:00,,15.74218759885112,1.2667946257197698,,,78.53571428571429,80.0,77.0,,,,,,,,2,,,,,
08:00:00.000-03:00,08:15:00.000-03:00,,15.74218759885112,1.2667946257197698,,,81.28571428571429,84.0,79.0,,,,,,,,2,,,,,
08:15:00.000-03:00,08:30:00.000-03:00,,15.74218759885112,1.2667946257197698,,,80.5,94.0,77.0,,,,,,,,2,,,,,
08:30:00.000-03:00,08:45:00.000-03:00,2,15.74218759885112,26.613435700575817,,,92.14285714285714,102.0,79.0,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,45,,,,,120000
08:45:00.000-03:00,09:00:00.000-03:00,13,47.517265480095766,166.56744186046512,,,95.57142857142857,116.0,63.0,,,,,0.3218288699775877,0.37398311495780945,0.282440721988678,256,,,,,780000
09:00:00.000-03:00,09:15:00.000-03:00,,15.742187028746038,2.511627906976744,,,81.17857142857143,85.0,74.0,,,,,,,,4,,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,15.742187028746038,2.511627906976744,,,82.85714285714286,88.0,79.0,,,,,,,,4,,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,15.742187028746038,2.511627906976744,,,82.92857142857143,90.0,79.0,,,,,,,,4,,,,,
09:45:00.000-03:00,10:00:00.000-03:00,,15.742187028746038,2.511627906976744,,,82.67857142857143,89.0,78.0,,,,,,,,4,,,,,
10:00:00.000-03:00,10:15:00.000-03:00,,15.742187028746038,2.511627906976744,,,82.71428571428571,86.0,79.0,,,,,,,,4,,,,,
10:15:00.000-03:00,10:30:00.000-03:00,,15.742187028746038,2.511627906976744,,,78.53571428571429,81.0,75.0,,,,,,,,4,,,,,
10:30:00.000-03:00,10:45:00.000-03:00,,15.742187028746038,2.511627906976744,,,79.07142857142857,82.0,76.0,,,,,,,,4,,,,,
10:45:00.000-03:00,11:00:00.000-03:00,,15.742187028746038,2.511627906976744,,,77.78571428571429,83.0,72.0,,,,,,,,4,,,,,
11:00:00.000-03:00,11:15:00.000-03:00,,15.742187028746038,2.511627906976744,,,75.71428571428571,83.0,62.0,,,,,,,,4,,,,,
11:15:00.000-03:00,11:30:00.000-03:00,,15.742187028746038,2.511627906976744,,,76.32142857142857,89.0,72.0,,,,,,,,4,,,,,
11:30:00.000-03:00,11:45:00.000-03:00,,15.742187028746038,2.511627906976744,,,75.57142857142857,84.0,68.0,,,,,,,,4,,,,,
11:45:00.000-03:00,12:00:00.000-03:00,,15.742187028746038,2.511627906976744,,,80.60714285714286,103.0,73.0,,,,,,,,4,,,,,
12:00:00.000-03:00,12:15:00.000-03:00,,15.742187028746038,2.511627906976744,,,87.82142857142857,104.0,77.0,,,,,,,,4,,,,,
12:15:00.000-03:00,12:30:00.000-03:00,,15.742187028746038,2.511627906976744,,,92.28571428571429,105.0,77.0,,,,,,,,4,,,,,
12:30:00.000-03:00,12:45:00.000-03:00,3,34.44931188826109,118.63630914864633,,,94.42857142857143,103.0,78.0,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,184,,,,360000,
12:45:00.000-03:00,13:00:00.000-03:00,,15.74218688223526,6.36734693877551,,,86.07142857142857,94.0,80.0,,,,,,,,10,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,,15.74218688223526,6.36734693877551,,,84.78571428571429,88.0,80.0,,,,,2.663764715194702,2.663764715194702,2.663764715194702,10,,,,,
13:15:00.000-03:00,13:30:00.000-03:00,,15.74218688223526,6.36734693877551,,,85.64285714285714,89.0,81.0,,,,,2.6637647151947026,2.663764715194702,2.663764715194702,10,,,,,
13:30:00.000-03:00,13:45:00.000-03:00,,15.74218688223526,6.36734693877551,,,89.25,97.0,82.0,,,,,2.663764715194702,2.663764715194702,2.663764715194702,10,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,15.74218688223526,6.36734693877551,,,84.53571428571429,90.0,80.0,,,,,,,,10,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,15.74218688223526,6.36734693877551,,,88.10714285714286,94.0,81.0,,,,,,,,10,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,15.74218688223526,6.36734693877551,,,89.60714285714286,103.0,80.0,,,,,,,,10,,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,15.74218688223526,6.36734693877551,,,85.5,91.0,79.0,,,,,,,,10,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,,15.74218688223526,6.36734693877551,,,85.03571428571429,94.0,73.0,,,,,,,,10,,,,,
15:00:00.000-03:00,15:15:00.000-03:00,,15.74218688223526,6.36734693877551,,,83.35714285714286,90.0,79.0,,,,,,,,10,,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,15.74218688223526,6.36734693877551,,,93.03571428571429,109.0,77.0,,,,,,,,10,,,,,
15:30:00.000-03:00,15:45:00.000-03:00,,15.74218688223526,6.36734693877551,,,92.25,99.0,82.0,,,,,,,,10,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,15.74218688223526,6.36734693877551,,,91.39285714285714,105.0,73.0,,,,,,,,10,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,15.74218688223526,6.36734693877551,,,86.57142857142857,96.0,81.0,,,,,,,,10,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,15.74218688223526,6.36734693877551,,,87.03571428571429,95.0,82.0,,,,,,,,10,,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,15.74218688223526,6.36734693877551,,,86.67857142857143,94.0,79.0,,,,,0.30774708092212677,0.35397499799728394,0.2615191638469696,10,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,6,38.345360970714,225.41234290907013,,,94.07142857142857,122.0,77.0,,,,,0.5949186325869967,1.2282559871673584,0.31382298469543457,341,,,,410098,
17:00:00.000-03:00,17:15:00.000-03:00,,15.742186556929747,11.64179104477612,,,79.92857142857143,91.0,73.0,,,,,,,,18,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,15.742186556929747,11.64179104477612,,,80.0,87.0,71.0,,,,,,,,18,,,,,
