Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Outra (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.742186813440313,0.283609576427256,,,73.0,77.0,70.0,,,,,,,,0,,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.742186813440313,0.30386740331491713,,,71.96428571428571,74.0,69.0,,,,,,,,0,,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.742186813440313,0.30386740331491713,,,71.82142857142857,73.0,71.0,,,,,,,,0,,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.742186813440313,0.30386740331491713,,,71.10714285714286,75.0,69.0,,,,,,,,0,,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.742186813440313,0.30386740331491713,,,71.42857142857143,80.0,70.0,,,,,,,,0,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.742186813440313,0.30386740331491713,,,77.03571428571429,85.0,63.0,,,,,,,,0,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.742186813440313,0.30386740331491713,,,64.60714285714286,69.0,62.0,,,,,,,,0,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.742186813440313,0.30386740331491713,,,65.28571428571429,66.0,64.0,,,,,,,,0,,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.742186813440313,0.30386740331491713,,,64.5,66.0,64.0,,,,,,,,0,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.742186813440313,0.30386740331491713,,,65.07142857142857,66.0,64.0,,,,,,,,0,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.742186813440313,0.30386740331491713,,,64.17857142857143,70.0,60.0,,,,,,,,0,,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.742186813440313,0.30386740331491713,,,68.57142857142857,73.0,63.0,,,,,,,,0,,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.742186813440313,0.30386740331491713,,,68.07142857142857,75.0,63.0,,,,,,,,0,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.742186813440313,0.30386740331491713,,,61.964285714285715,68.0,59.0,,,,,,,,0,,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.742186813440313,0.30386740331491713,,,59.285714285714285,60.0,59.0,,,,,,,,0,,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.742186813440313,0.30386740331491713,,,59.214285714285715,64.0,57.0,,,,,,,,0,,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.742186813440313,0.30386740331491713,,,61.464285714285715,68.0,60.0,,,,,,,,0,,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.742186813440313,0.30386740331491713,,,61.714285714285715,63.0,60.0,,,,,,,,0,,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,15.742186813440313,0.30386740331491713,,,63.25,67.0,62.0,,,,,,,,0,,,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,15.742186813440313,0.30386740331491713,,,68.64285714285714,77.0,65.0,,,,,,,,0,,,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,15.742186813440313,0.30386740331491713,,,66.35714285714286,74.0,60.0,,,,,,,,0,,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,15.742186813440313,0.30386740331491713,,,65.0,69.0,63.0,,,,,,,,0,,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,15.742186813440313,0.30386740331491713,,,64.78571428571429,66.0,62.0,,,,,,,,0,,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,15.742186813440313,0.30386740331491713,,,63.5,70.0,58.0,,,,,,,,0,,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,15.742186813440313,0.30386740331491713,,,58.607142857142854,63.0,56.0,,,,,,,,0,,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,15.742186813440313,0.30386740331491713,,,59.107142857142854,65.0,57.0,,,,,,,,0,,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,15.742186813440313,0.30386740331491713,,,67.5,74.0,64.0,,,,,,,,0,,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,15.742186813440313,0.30386740331491713,,,67.03571428571429,73.0,63.0,,,,,,,,0,,,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,15.742186813440313,0.30386740331491713,,,67.03571428571429,69.0,65.0,,,,,,,,0,,,,,,
