"Tabela 8175 - População indígena, por localização do domicílio, grupos de idade e sexo"
"Variável - Pessoas indígenas (Pessoas)"
"","Localização do domicílio","Ano x Idade x Sexo"
"","Localização do domicílio","2022"
"","Localização do domicílio","Total",,,"0 a 4 anos",,,"Menos de 1 ano",,,"Menos de 1 mês",,,"1 mês",,,"2 meses",,,"3 meses",,,"4 meses",,,"5 meses",,,"6 meses",,,"7 meses",,,"8 meses",,,"9 meses",,,"10 meses",,,"11 meses",,,"1 ano",,,"2 anos",,,"3 anos",,,"4 anos",,,"5 a 9 anos",,,"5 anos",,,"6 anos",,,"7 anos",,,"8 anos",,,"9 anos",,,"10 a 14 anos",,,"10 anos",,,"11 anos",,,"12 anos",,,"13 anos",,,"14 anos",,,"15 a 19 anos",,,"15 anos",,,"16 anos",,,"17 anos",,,"18 anos",,,"19 anos",,,"20 a 24 anos",,,"20 anos",,,"21 anos",,,"22 anos",,,"23 anos",,,"24 anos",,,"25 a 29 anos",,,"25 anos",,,"26 anos",,,"27 anos",,,"28 anos",,,"29 anos",,,"30 a 34 anos",,,"30 anos",,,"31 anos",,,"32 anos",,,"33 anos",,,"34 anos",,,"35 a 39 anos",,,"35 anos",,,"36 anos",,,"37 anos",,,"38 anos",,,"39 anos",,,"40 a 44 anos",,,"40 anos",,,"41 anos",,,"42 anos",,,"43 anos",,,"44 anos",,,"45 a 49 anos",,,"45 anos",,,"46 anos",,,"47 anos",,,"48 anos",,,"49 anos",,,"50 a 54 anos",,,"50 anos",,,"51 anos",,,"52 anos",,,"53 anos",,,"54 anos",,,"55 a 59 anos",,,"55 anos",,,"56 anos",,,"57 anos",,,"58 anos",,,"59 anos",,,"60 a 64 anos",,,"60 anos",,,"61 anos",,,"62 anos",,,"63 anos",,,"64 anos",,,"65 a 69 anos",,,"65 anos",,,"66 anos",,,"67 anos",,,"68 anos",,,"69 anos",,,"70 a 74 anos",,,"70 anos",,,"71 anos",,,"72 anos",,,"73 anos",,,"74 anos",,,"75 a 79 anos",,,"75 anos",,,"76 anos",,,"77 anos",,,"78 anos",,,"79 anos",,,"80 a 84 anos",,,"80 anos",,,"81 anos",,,"82 anos",,,"83 anos",,,"84 anos",,,"85 a 89 anos",,,"85 anos",,,"86 anos",,,"87 anos",,,"88 anos",,,"89 anos",,,"90 a 94 anos",,,"90 anos",,,"91 anos",,,"92 anos",,,"93 anos",,,"94 anos",,,"95 a 99 anos",,,"95 anos",,,"96 anos",,,"97 anos",,,"98 anos",,,"99 anos",,,"100 anos ou mais"
"","Localização do domicílio","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres","Total","Homens","Mulheres"
"Brasil","Total","1694836","834816","860020","172880","87775","85105","33744","16934","16810","2432","1206","1226","2627","1295","1332","2740","1390","1350","2740","1341","1399","2779","1362","1417","2510","1268","1242","2873","1468","1405","3108","1579","1529","2979","1510","1469","3025","1555","1470","3041","1518","1523","2890","1442","1448","34241","17360","16881","34722","17698","17024","35445","18025","17420","34728","17758","16970","170305","86975","83330","33787","17198","16589","34274","17602","16672","34763","17650","17113","33826","17263","16563","33655","17262","16393","164405","83534","80871","33683","17242","16441","32868","16705","16163","32736","16734","16002","32921","16553","16368","32197","16300","15897","161846","81797","80049","32901","16655","16246","33347","16917","16430","32521","16406","16115","32176","16278","15898","30901","15541","15360","150799","75424","75375","31526","15898","15628","30143","15008","15135","31844","15948","15896","29152","14651","14501","28134","13919","14215","130629","64403","66226","28193","14003","14190","27119","13297","13822","26008","12826","13182","25435","12589","12846","23874","11688","12186","115860","56627","59233","25624","12736","12888","22015","10652","11363","23182","11346","11836","22339","10916","11423","22700","10977","11723","112661","55039","57622","23239","11392","11847","22812","11153","11659","22428","10933","11495","22426","10940","11486","21756","10621","11135","104154","50833","53321","23496","11519","11977","20195","9750","10445","21941","10763","11178","19669","9559","10110","18853","9242","9611","87946","43130","44816","18861","9292","9569","18112","8803","9309","17548","8634","8914","17024","8484","8540","16401","7917","8484","76044","36608","39436","16796","8237","8559","14777","7181","7596","15859","7617","8242","14364","6765","7599","14248","6808","7440","66849","31436","35413","14164","6569","7595","13743","6475","7268","13002","6096","6906","13463","6408","7055","12477","5888","6589","56027","26151","29876","12951","5989","6962","10874","5099","5775","11742","5458","6284","10195","4808","5387","10265","4797","5468","44035","20219","23816","9952","4547","5405","9168","4232","4936","8823","4072","4751","8499","3833","4666","7593","3535","4058","31992","14434","17558","7900","3641","4259","6338","2812","3526","6831","3065","3766","5601","2495","3106","5322","2421","2901","21540","9430","12110","5124","2331","2793","4516","2027","2489","4318","1838","2480","4109","1754","2355","3473","1480","1993","14065","5988","8077","3482","1466","2016","2790","1207","1583","3263","1462","1801","2323","950","1373","2207","903","1304","7305","2999","4306","1796","752","1044","1855","753","1102","1486","616","870","1156","471","685","1012","407","605","3382","1270","2112","970","363","607","763","290","473","780","317","463","443","146","297","426","154","272","1329","482","847","322","122","200","335","126","209","253","97","156","223","76","147","196","61","135","783","262","521"
"Brasil","Em terras indígenas","622844","318865","303979","89277","45301","43976","17520","8754","8766","1271","625","646","1352","672","680","1403","709","694","1425","692","733","1408","705","703","1308","654","654","1529","752","777","1576","792","784","1550","779","771","1540","804","736","1588","810","778","1570","760","810","18116","9189","8927","18054","9166","8888","18051","9205","8846","17536","8987","8549","84863","43300","41563","17230","8742","8488","17040","8813","8227","17416","8783","8633","16654","8470","8184","16523","8492","8031","78370","40024","38346","16630","8595","8035","15851","8050","7801","15624","7990","7634","15367","7816","7551","14898","7573","7325","70747","36283","34464","14977","7632","7345","14970","7686","7284","14116","7236","6880","13780","7085","6695","12904","6644","6260","58946","30276","28670","12938","6632","6306","12016","6134","5882","12310","6363","5947","11178","5822","5356","10504","5325","5179","46985","23971","23014","10553","5365","5188","9737","4945","4792","9093","4617","4476","8984","4659","4325","8618","4385","4233","39299","20125","19174","8943","4687","4256","7689","3791","3898","8016","4131","3885","7331","3773","3558","7320","3743","3577","34611","17796","16815","7309","3779","3530","6988","3627","3361","6890","3534","3356","6969","3561","3408","6455","3295","3160","28817","14827","13990","6717","3457","3260","5727","2891","2836","6177","3214","2963","5278","2734","2544","4918","2531","2387","22640","11908","10732","4960","2603","2357","4712","2456","2256","4536","2375","2161","4359","2325","2034","4073","2149","1924","17754","9411","8343","4201","2257","1944","3495","1875","1620","3772","1921","1851","3181","1718","1463","3105","1640","1465","13858","7211","6647","3052","1537","1515","2877","1503","1374","2683","1393","1290","2726","1428","1298","2520","1350","1170","10835","5714","5121","2694","1398","1296","2163","1139","1024","2335","1234","1101","1823","971","852","1820","972","848","8038","4196","3842","1824","948","876","1638","868","770","1626","872","754","1536","782","754","1414","726","688","6163","3138","3025","1447","766","681","1224","612","612","1424","717","707","1040","517","523","1028","526","502","4593","2140","2453","1016","526","490","970","449","521","956","425","531","829","366","463","822","374","448","3471","1596","1875","838","369","469","694","313","381","871","419","452","496","237","259","572","258","314","1778","875","903","434","206","228","438","211","227","391","199","192","263","135","128","252","124","128","912","410","502","263","126","137","196","91","105","218","98","120","114","39","75","121","56","65","495","214","281","104","47","57","117","56","61","104","46","58","85","35","50","85","30","55","392","149","243"
"Brasil","Fora de terras indígenas","1071992","515951","556041","83603","42474","41129","16224","8180","8044","1161","581","580","1275","623","652","1337","681","656","1315","649","666","1371","657","714","1202","614","588","1344","716","628","1532","787","745","1429","731","698","1485","751","734","1453","708","745","1320","682","638","16125","8171","7954","16668","8532","8136","17394","8820","8574","17192","8771","8421","85442","43675","41767","16557","8456","8101","17234","8789","8445","17347","8867","8480","17172","8793","8379","17132","8770","8362","86035","43510","42525","17053","8647","8406","17017","8655","8362","17112","8744","8368","17554","8737","8817","17299","8727","8572","91099","45514","45585","17924","9023","8901","18377","9231","9146","18405","9170","9235","18396","9193","9203","17997","8897","9100","91853","45148","46705","18588","9266","9322","18127","8874","9253","19534","9585","9949","17974","8829","9145","17630","8594","9036","83644","40432","43212","17640","8638","9002","17382","8352","9030","16915","8209","8706","16451","7930","8521","15256","7303","7953","76561","36502","40059","16681","8049","8632","14326","6861","7465","15166","7215","7951","15008","7143","7865","15380","7234","8146","78050","37243","40807","15930","7613","8317","15824","7526","8298","15538","7399","8139","15457","7379","8078","15301","7326","7975","75337","36006","39331","16779","8062","8717","14468","6859","7609","15764","7549","8215","14391","6825","7566","13935","6711","7224","65306","31222","34084","13901","6689","7212","13400","6347","7053","13012","6259","6753","12665","6159","6506","12328","5768","6560","58290","27197","31093","12595","5980","6615","11282","5306","5976","12087","5696","6391","11183","5047","6136","11143","5168","5975","52991","24225","28766","11112","5032","6080","10866","4972","5894","10319","4703","5616","10737","4980","5757","9957","4538","5419","45192","20437","24755","10257","4591","5666","8711","3960","4751","9407","4224","5183","8372","3837","4535","8445","3825","4620","35997","16023","19974","8128","3599","4529","7530","3364","4166","7197","3200","3997","6963","3051","3912","6179","2809","3370","25829","11296","14533","6453","2875","3578","5114","2200","2914","5407","2348","3059","4561","1978","2583","4294","1895","2399","16947","7290","9657","4108","1805","2303","3546","1578","1968","3362","1413","1949","3280","1388","1892","2651","1106","1545","10594","4392","6202","2644","1097","1547","2096","894","1202","2392","1043","1349","1827","713","1114","1635","645","990","5527","2124","3403","1362","546","816","1417","542","875","1095","417","678","893","336","557","760","283","477","2470","860","1610","707","237","470","567","199","368","562","219","343","329","107","222","305","98","207","834","268","566","218","75","143","218","70","148","149","51","98","138","41","97","111","31","80","391","113","278"
"Fonte: IBGE - Censo Demográfico"

