nr_votavel,nm_votavel,nome_do_local,latitude,longitude,votos_local,votos_candidato,prop_votos,grupo,geometry
10123,CRISTIAN MARCOS MAIA DA SILVA,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PROFª DULSE TELLES FERREIRA,-23.3731326,-51.9441896,4,2090,0.0019138755980861245,Maringá,"c(-51.9441896, -23.3731326)"
10123,CRISTIAN MARCOS MAIA DA SILVA,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL WALKIRIA FONTES,-23.3803336,-51.9410139,5,2090,0.0023923444976076554,Maringá,"c(-51.9410139, -23.3803336)"
10123,CRISTIAN MARCOS MAIA DA SILVA,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL WINIFRED ETHEL NETTO,-23.4629674,-51.9235139,5,2090,0.0023923444976076554,Maringá,"c(-51.9235139, -23.4629674)"
10123,CRISTIAN MARCOS MAIA DA SILVA,CENTRO SOCIAL SANTA DULCE DOS POBRES,-23.3996098,-51.9595913,4,2090,0.0019138755980861245,Maringá,"c(-51.9595913, -23.3996098)"
10123,CRISTIAN MARCOS MAIA DA SILVA,CENTRO SOCIAL URBANO,-23.4177844,-51.8991628,90,2090,0.0430622009569378,Maringá,"c(-51.8991628, -23.4177844)"
10123,CRISTIAN MARCOS MAIA DA SILVA,CEPA - CENTRO DE PASTORAL DA ARQUIDIOCESE,-23.4080477,-51.9276088,5,2090,0.0023923444976076554,Maringá,"c(-51.9276088, -23.4080477)"
10123,CRISTIAN MARCOS MAIA DA SILVA,CMEI ANGELO VIEGAS - EM REFORMA -VOTAÇÃO E.M DR. HELENTON BORBA CORTES,-23.4394158,-51.8966662,3,2090,0.0014354066985645933,Maringá,"c(-51.8966662, -23.4394158)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO DOM BOSCO - (PARTICULAR),-23.44394244,-51.92844287,8,2090,0.003827751196172249,Maringá,"c(-51.92844287, -23.44394244)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO ESTADUAL BRANCA DA MOTA FERNANDES,-23.4178452,-51.9062359,64,2090,0.03062200956937799,Maringá,"c(-51.9062359, -23.4178452)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO ESTADUAL CÍVICO MILITAR DUQUE DE CAXIAS,-23.404109,-51.9201654,14,2090,0.0066985645933014355,Maringá,"c(-51.9201654, -23.404109)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO ESTADUAL DOUTOR GASTAO VIDIGAL,-23.4124389,-51.9353178,6,2090,0.0028708133971291866,Maringá,"c(-51.9353178, -23.4124389)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO ESTADUAL JOSÉ GERARDO BRAGA (ATUAL SANTA MARIA GORETTI),-23.42124936,-51.95379938,9,2090,0.00430622009569378,Maringá,"c(-51.95379938, -23.42124936)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO ESTADUAL JUSCELINO KUBTSCHEK DE OLIVEIRA - ENS. FUND. E MÉDIO,-23.43187244,-51.97183911,9,2090,0.00430622009569378,Maringá,"c(-51.97183911, -23.43187244)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO MARISTA DE MARINGÁ - (PARTICULAR),-23.42706714,-51.94210552,14,2090,0.0066985645933014355,Maringá,"c(-51.94210552, -23.42706714)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO SANTA CRUZ (PARTICULAR),-23.42177591,-51.95454648,4,2090,0.0019138755980861245,Maringá,"c(-51.95454648, -23.42177591)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO SANTO INACIO - (PARTICULAR),-23.42303114,-51.91985224,8,2090,0.003827751196172249,Maringá,"c(-51.91985224, -23.42303114)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLEGIO SAO FRANCISCO XAVIER - (PARTICULAR),-23.43774667,-51.93425167,22,2090,0.010526315789473684,Maringá,"c(-51.93425167, -23.43774667)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO BOM JESUS (PARTICULAR) 'CARLOS DÉMIA',-23.452465,-51.953865,5,2090,0.0023923444976076554,Maringá,"c(-51.953865, -23.452465)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL ADAILE MARIA LEITE,-23.4145598,-51.8881782,276,2090,0.1320574162679426,Maringá,"c(-51.8881782, -23.4145598)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL ALBERTO JACKSON BYINGTON JUNIOR,-23.43404667,-51.95873833,3,2090,0.0014354066985645933,Maringá,"c(-51.95873833, -23.43404667)"
10123,CRISTIAN MARCOS MAIA DA SILVA,COLÉGIO ESTADUAL DO PARQUE ITAIPU - ENSINO FUNDAMENTAL,-23.4526124,-51.9749551,2,2090,9.569377990430622e-4,Maringá,"c(-51.9749551, -23.4526124)"
