wavelength_nm,river,depth,mean,sd,se,n,mean_l,mean_h,depth_cm,water_type,wavelength_label
352,baia,4500,-5.20782e-4,1.2763634804004696e-4,7.369087989930188e-5,3,-5.944728798993019e-4,-4.4709112010069815e-4,51.696,black,352 nm
352,baia,500,0.30940999999999996,0.04517958499145383,0.026084445556691448,3,0.28332555444330854,0.3354944455566914,5.744,black,352 nm
352,baia,5000,-5.77346e-4,NA,NA,1,NA,NA,57.44,black,352 nm
352,baia,5500,-2.3343266666666667e-4,1.2366097678869164e-4,7.13956982372032e-5,3,-3.0482836490386986e-4,-1.6203696842946347e-4,63.184,black,352 nm
352,baia,6000,-4.21981e-4,NA,NA,1,NA,NA,68.928,black,352 nm
352,baia,6500,-3.8889416666666667e-4,2.6824276235917966e-4,1.548700310562412e-4,3,-5.437641977229079e-4,-2.3402413561042547e-4,74.672,black,352 nm
352,baia,7000,-6.559716666666666e-4,1.918202909765631e-4,1.1074749663135105e-4,3,-7.667191632980177e-4,-5.452241700353155e-4,80.416,black,352 nm
352,distilled,1000,1.03166,NA,NA,1,NA,NA,11.488,distilled,352 nm
352,distilled,10000,0.91194,NA,NA,1,NA,NA,114.88,distilled,352 nm
352,distilled,2000,0.95177,NA,NA,1,NA,NA,22.976,distilled,352 nm
352,distilled,4000,0.94335,NA,NA,1,NA,NA,45.952,distilled,352 nm
352,distilled,6000,0.97215,NA,NA,1,NA,NA,68.928,distilled,352 nm
352,distilled,8000,0.93851,NA,NA,1,NA,NA,91.904,distilled,352 nm
352,ivinhema,1000,0.4590666666666666,0.022812008533518773,0.013170519267583104,3,0.4458961473990835,0.47223718593424974,11.488,white,352 nm
352,ivinhema,2000,0.24913333333333335,0.010808026338482601,0.006240016915931496,3,0.24289331641740186,0.25537335024926483,22.976,white,352 nm
352,ivinhema,250,0.6830433333333333,0.018408640181537927,0.010628233364225885,3,0.6724150999691074,0.6936715666975592,2.872,white,352 nm
352,ivinhema,3000,0.10552666666666667,0.010622035272645883,0.006132634924003801,3,0.09939403174266287,0.11165930159067047,34.464,white,352 nm
352,ivinhema,4000,0.04187,0.006296165499730766,0.0036350928461319925,3,0.03823490715386801,0.04550509284613199,45.952,white,352 nm
352,ivinhema,500,0.5975433333333333,0.036111655089919835,0.020849073787048138,3,0.5766942595462852,0.6183924071203815,5.744,white,352 nm
352,ivinhema,5000,0.019023333333333333,0.003837373233519686,0.0022155084693536555,3,0.01680782486397968,0.021238841802686988,57.44,white,352 nm
352,ivinhema,6000,0.007710000000000001,0.0018958111720316453,0.0010945470905051704,3,0.00661545290949483,0.00880454709050517,68.928,white,352 nm
352,ivinhema,7000,0.00362,0.0010728932845348602,6.194352266379433e-4,3,0.0030005647733620565,0.004239435226637943,80.416,white,352 nm
352,ivinhema,8000,8.595e-4,6.510842879382054e-4,3.759036889062587e-4,3,4.835963110937413e-4,0.0012354036889062588,91.904,white,352 nm
352,ivinhema,9000,1.7012426666666668e-4,2.0464312958761488e-4,1.1815076595521692e-4,3,5.197350071144976e-5,2.882750326218836e-4,103.392,white,352 nm
352,parana,1000,0.84643,0.08834005942945705,0.05100315709182457,3,0.7954268429081754,0.8974331570918246,11.488,clean,352 nm
352,parana,10000,0.03654333333333333,0.014296518224145812,0.008254098645184976,3,0.028289234688148354,0.04479743197851831,114.88,clean,352 nm
352,parana,2000,0.64759,0.1099575104301657,0.06348399824627725,3,0.5841060017537227,0.7110739982462773,22.976,clean,352 nm
352,parana,4000,0.3164533333333333,0.06619389423000686,0.03821706265240408,3,0.2782362706809292,0.3546703959857374,45.952,clean,352 nm
352,parana,500,0.9564566666666666,0.08161136951021791,0.04711834615565833,3,0.9093383205110083,1.0035750128223249,5.744,clean,352 nm
352,parana,6000,0.14882666666666666,0.04258519734993996,0.024586575153481175,3,0.12424009151318549,0.17341324182014783,68.928,clean,352 nm
352,parana,8000,0.07445666666666667,0.023431995931489348,0.013528469158695591,3,0.06092819750797108,0.08798513582536226,91.904,clean,352 nm
353,baia,1000,0.11349,0.028774931798355323,0.01661321461969357,3,0.09687678538030642,0.13010321461969357,11.488,black,353 nm
353,baia,1500,0.04245666666666666,0.011909182731545153,0.006875769855886038,3,0.035580896810780624,0.0493324365225527,17.232,black,353 nm
353,baia,2000,0.014855,0.008746910883277592,0.006184999999999999,2,0.00867,0.02104,22.976,black,353 nm
353,baia,250,0.5121566666666667,0.13384256883866708,0.07727404314803546,3,0.4348826235186313,0.5894307098147021,2.872,black,353 nm
353,baia,2500,0.004706666666666666,0.0028708941696505173,0.0016575115216626534,3,0.0030491551450040127,0.00636417818832932,28.72,black,353 nm
353,baia,3000,0.001727237,0.0019130957812765151,0.0013527629999999999,2,3.744740000000001e-4,0.00308,34.464,black,353 nm
353,baia,3500,2.9278333333333334e-4,5.616800072499762e-4,3.242861033842047e-4,3,-3.150277005087136e-5,6.17069436717538e-4,40.208,black,353 nm
353,baia,4000,-0.00014794934999999999,1.3065728183934104e-4,9.238864999999999e-5,2,-2.40338e-4,-5.55607e-5,45.952,black,353 nm
353,baia,4500,-4.983383333333333e-4,1.0736292533893316e-4,6.198601384541875e-5,3,-5.603243471787521e-4,-4.363523194879146e-4,51.696,black,353 nm
353,baia,500,0.3178666666666667,0.04368165099138692,0.025219612958524523,3,0.29264705370814215,0.3430862796251912,5.744,black,353 nm
353,baia,5000,-5.56454e-4,NA,NA,1,NA,NA,57.44,black,353 nm
353,baia,5500,-2.2596533333333333e-4,1.1678619916896572e-4,6.742654352783561e-5,3,-2.9339187686116896e-4,-1.585387898054977e-4,63.184,black,353 nm
353,baia,6000,-4.04662e-4,NA,NA,1,NA,NA,68.928,black,353 nm
353,baia,6500,-3.745726333333333e-4,2.592449756712815e-4,1.4967515648987238e-4,3,-5.242477898232057e-4,-2.2489747684346093e-4,74.672,black,353 nm
353,baia,7000,-6.303613333333333e-4,1.820564137000763e-4,1.0511031945743693e-4,3,-7.354716527907702e-4,-5.252510138758964e-4,80.416,black,353 nm
353,distilled,1000,1.02703,NA,NA,1,NA,NA,11.488,distilled,353 nm
353,distilled,10000,0.9223,NA,NA,1,NA,NA,114.88,distilled,353 nm
353,distilled,2000,0.95694,NA,NA,1,NA,NA,22.976,distilled,353 nm
353,distilled,4000,0.94937,NA,NA,1,NA,NA,45.952,distilled,353 nm
353,distilled,6000,0.97414,NA,NA,1,NA,NA,68.928,distilled,353 nm
353,distilled,8000,0.94505,NA,NA,1,NA,NA,91.904,distilled,353 nm
353,ivinhema,1000,0.46763666666666664,0.024381706940518617,0.01407678506541099,3,0.45355988160125565,0.48171345173207764,11.488,white,353 nm
353,ivinhema,2000,0.2572233333333333,0.012459367292657083,0.0071934190603479865,3,0.2500299142729853,0.2644167523936813,22.976,white,353 nm
353,ivinhema,250,0.69848,0.023655029063605053,0.0136572373975608,3,0.6848227626024392,0.7121372373975607,2.872,white,353 nm
353,ivinhema,3000,0.11229666666666667,0.012601493297753782,0.007275475547649411,3,0.10502119111901725,0.11957214221431609,34.464,white,353 nm
353,ivinhema,4000,0.045026666666666666,0.007387329242245357,0.0042650765266027514,3,0.04076159014006391,0.04929174319326942,45.952,white,353 nm
353,ivinhema,500,0.6141633333333333,0.04588430268984515,0.026491314509560368,3,0.587672018823773,0.6406546478428936,5.744,white,353 nm
353,ivinhema,5000,0.020536666666666665,0.004425678855648399,0.002555166878655438,3,0.017981499788011227,0.023091833545322103,57.44,white,353 nm
353,ivinhema,6000,0.008543333333333333,0.002257793908516305,0.0013035379208565859,3,0.0072397954124767475,0.00984687125418992,68.928,white,353 nm
353,ivinhema,7000,0.00394,0.0011387273598188461,6.574445477250027e-4,3,0.0032825554522749973,0.0045974445477250025,80.416,white,353 nm
353,ivinhema,8000,0.0010703966666666667,7.179308267746506e-4,4.144975560978751e-4,3,6.558991105687916e-4,0.0014848942227645417,91.904,white,353 nm
353,ivinhema,9000,2.851168333333333e-4,2.3185073652046769e-4,1.3385908514190504e-4,3,1.5125774819142827e-4,4.1897591847523834e-4,103.392,white,353 nm
353,parana,1000,0.8404766666666666,0.08938769788585749,0.05160801143664077,3,0.7888686552300259,0.8920846781033074,11.488,clean,353 nm
353,parana,10000,0.03957,0.015557017709059791,0.008981848362113446,3,0.030588151637886557,0.048551848362113445,114.88,clean,353 nm
353,parana,2000,0.6501533333333334,0.11068093979242014,0.06390167038331453,3,0.5862516629500188,0.7140550037166479,22.976,clean,353 nm
353,parana,4000,0.32841,0.06936053416749324,0.04004532307273846,3,0.28836467692726153,0.36845532307273843,45.952,clean,353 nm
353,parana,500,0.9452066666666666,0.0802866205125944,0.04635350196527171,3,0.898853164701395,0.9915601686319383,5.744,clean,353 nm
353,parana,6000,0.15581,0.04476287300877815,0.0258438567813191,3,0.1299661432186809,0.1816538567813191,68.928,clean,353 nm
353,parana,8000,0.07892,0.02505451456324788,0.014465230727506563,3,0.06445476927249344,0.09338523072750657,91.904,clean,353 nm
354,baia,1000,0.11868666666666666,0.028301219643918765,0.016339716779811223,3,0.10234694988685544,0.13502638344647788,11.488,black,354 nm
354,baia,1500,0.04530666666666667,0.012539542788049864,0.007239708404195419,3,0.03806695826247125,0.052546375070862086,17.232,black,354 nm
354,baia,2000,0.01629,0.009319667376038697,0.00659,2,0.009699999999999999,0.022879999999999998,22.976,black,354 nm
